"Order","Family","Species.name.","Brain.mass","Body.mass","Body.mass","Residual.brain.size","Residual.brain.size","Maximum.lifespan","Age.at.first.reprodction","Residual.lifespan","Residual.reproductive.lifespan","Incubation.length","Clutch.size","Mode.of.development","Mean.latitude","Sampling.effort","Dats.source","logBodyMass","logBrainMass"
"Falconiformes","Falconidae","Falco columbarius ",3,187,195,0.08268,0.162773120416768,12.7,1,-0.13366,-0.12237,30,5,3,56.55,1,0,5.23110861685459,1.09861228866811
"Falconiformes","Falconidae","Falco eleonorae ",4.18,385,390,0.05014,0.116827816948612,11.2,1,-0.25731,-0.25126,28,2.5,3,36.11,1,0,5.95324333428778,1.43031124653666
"Falconiformes","Falconidae","Falco naumanni ",2.9,159,152.5,0.10762,0.1908597547498,10.9,1,-0.18453,-0.17935,28,4,3,43.9,1,0,5.06890420222023,1.06471073699243
"Falconiformes","Falconidae","Falco rusticolus ",8,1425,1407,0.01202,0.0535278882796624,13.5,2,-0.30134,-0.32477,35,3.5,3,67.46,1,0,7.26192709270275,2.07944154167984
"Falconiformes","Falconidae","Falco subbuteo ",3.5,211,209.5,0.1201,0.198216712172857,14.9,1,-0.07583,-0.05913,29,3,3,44.24,1,0,5.35185813347607,1.25276296849537
"Falconiformes","Falconidae","Falco tinnunculus ",3.718,232.5,184,0.12261,0.198728843975852,23.8,1,0.11828,0.14648,28,4.5,3,17.94,2,0,5.44889022502741,1.31318588929925
"Falconiformes","Falconidae","Falco vespertinus ",2.5,158.5,152.5,0.04394,0.127466608754491,13.2,1,-0.10108,-0.08832,22,3.5,3,53.52,1,0,5.06575459331733,0.916290731874155
"Galliformes","Odontophoridae","Callipepla gambelii",1.16,162.3,166,-0.29526,-0.212601931292415,7.4,1,-0.35466,-0.37075,22,11,1,32.3,1,0,5.08944647452055,0.148420005118273
"Galliformes","Phasianidae","Alectoris rufa ",1.953,477.5,528,-0.33299,-0.270216459492304,6.2,1,-0.53472,-0.56453,23,13,1,42.7,1,1,6.16856415992078,0.669366651894542
"Galliformes","Phasianidae","Bonasa bonasia ",1.881,532,429,-0.37573,-0.315738597712762,7.2,1,-0.48012,-0.49851,25,9,1,53.59,1,0,6.27664348934164,0.631803550318893
"Galliformes","Phasianidae","Coturnix coturnix ",0.8,90,96.5,-0.31251,-0.218247306091622,14.6,1,-0.00318,0.01318,18,10.5,1,13.25,1,0,4.49980967033027,-0.22314355131421
"Galliformes","Phasianidae","Lagopus lagopus ",2.513,595,595.88,-0.2773,-0.219474443942602,9,1,-0.39391,-0.39856,21,6,1,58.89,0,0,6.38856140554563,0.921477258561455
"Galliformes","Phasianidae","Perdix perdix ",1.55,382,492,-0.37879,-0.312351621037317,5.2,1,-0.58977,-0.63586,24,16,1,51.32,1,0,5.94542060860658,0.438254930931155
"Galliformes","Phasianidae","Phasianus colchicus ",4.12,1087.5,1095,-0.21008,-0.162863339166847,27,1,0.02554,0.05545,24,11,1,35,2,1,6.99163676296284,1.41585316336144
"Galliformes","Phasianidae","Tetrao tetrix ",3.519,1139,1079,-0.28987,-0.24460727326535,12.2,1,-0.32389,-0.31475,26,8.5,1,55.47,1,0,7.03790596344718,1.25817685833945
"Galliformes","Phasianidae","Tetrao urogallus ",5.772,3112.5,2950,-0.3208,-0.29419561931045,18,3,-0.25111,-0.28436,25,9,1,55.73,1,1,8.04318154077296,1.75301864091162
